name,regional_unit,type,lat,lon,confidence,source_note
Ιωάννινα Ι,Ιωαννίνων,substation,39.6650,20.8537,confirmed,Πόλη Ιωαννίνων - γνωστές συντεταγμένες
Ιωάννινα ΙΙ,Ιωαννίνων,substation,39.6650,20.8537,confirmed,Πόλη Ιωαννίνων - γνωστές συντεταγμένες
Δολιανά,Ιωαννίνων,substation,39.90,20.60,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ (κοντά στην Κακαβιά) - ακριβείς συντεταγμένες κατά προσέγγιση
Κασσιδιάρης,Ιωαννίνων,substation,39.85,20.62,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ (νότια Δολιανών) - ακριβείς συντεταγμένες κατά προσέγγιση
Πηγές Αώου ΥΗΣ,Ιωαννίνων,hydro,39.85,20.95,approximate,"Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ (ΒΑ Ιωαννίνων, οροπέδιο Πολιτσών)"
Ηγουμενίτσα,Θεσπρωτίας,substation,39.5008,20.2597,confirmed,Πόλη Ηγουμενίτσας - γνωστές συντεταγμένες
Μούρτος,Θεσπρωτίας,substation,39.35,20.20,approximate,"Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ (ακτή, νότια Ηγουμενίτσας, περιοχή Συβότων)"
Καναλάκι,Πρέβεζας,substation,39.27,20.62,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ - έδρα Δ. Πάργας
Λούρος ΥΗΣ,Πρέβεζας,hydro,39.19,21.00,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ - ίδιο hub με Πουρνάρι/Άραχθος ΚΥΤ
ΒΙ.ΠΕ. Πρέβεζας,Πρέβεζας,substation,38.98,20.78,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ
Πουρνάρι Ι ΥΗΣ,Άρτας,hydro,39.19,21.02,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ - 4.5km ΒΑ Άρτας
Πουρνάρι ΙΙ ΥΗΣ,Άρτας,hydro,39.19,21.02,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ - ίδιο hub με Πουρνάρι Ι
Άραχθος ΚΥΤ,Άρτας,kyt,39.19,21.01,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ - ίδιο hub με Πουρνάρι - βασικός κόμβος διασύνδεσης Ηπείρου
Αυλάκι,Άρτας,substation,39.20,21.08,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ - ανατολικά Πουρναρίου προς Μεσοχώρα
Μεσοχώρα ΥΗΣ,Άρτας/Τρίκαλα (όρια),hydro,39.45,21.35,approximate,Επιβεβαιώθηκε θέση στον χάρτη ΑΔΜΗΕ ΔΠΑ - γεωγραφικά πιο κοντά στα Τρίκαλα (θέση Ρωμωσέικα άνω Αχελώου)
Μαργαρίτι,Θεσπρωτίας,substation,39.34,20.23,approximate,"Νέος κόμβος (2026-09-13) - υποσταθμός σύνδεσης ΑΠΕ από αρχείο ΑΔΜΗΕ Απρ.2026. 25km από Ηγουμενίτσα, μεταξύ Παραμυθιάς-Πάργας-Αχέροντα (Wikipedia), ακριβείς συντεταγμένες κατά προσέγγιση"
Αμπέλια,Άρτας,substation,39.2239,20.9289,confirmed,"Νέος κόμβος (2026-09-13) - υποσταθμός σύνδεσης ΑΠΕ από αρχείο ΑΔΜΗΕ Απρ.2026. Αμπέλια Αμμοτόπου, δυτικά Αράχθου, βόρεια Άρτας - συντεταγμένες από Wikipedia"
