bus0,bus1,p_nom,confidence,source_note
Ιωάννινα Ι,Ηγουμενίτσα,200,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 26.1/28.1), χωρητικότητα εκτίμηση (όχι στο PDF)"
Ιωάννινα Ι,Δολιανά,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 26.1/26.3), χωρητικότητα εκτίμηση"
Ιωάννινα Ι,Κασσιδιάρης,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 26.1/26.4), χωρητικότητα εκτίμηση"
Ιωάννινα Ι,Λούρος ΥΗΣ,200,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 26.1/29.2), χωρητικότητα εκτίμηση"
Ιωάννινα Ι,Ιωάννινα ΙΙ,300,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 26.1/26.2), χωρητικότητα εκτίμηση"
Ιωάννινα ΙΙ,Πηγές Αώου ΥΗΣ,250,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 26.2/26.6), χωρητικότητα εκτίμηση"
Πηγές Αώου ΥΗΣ,Άραχθος ΚΥΤ,250,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 26.6), χωρητικότητα εκτίμηση"
Ηγουμενίτσα,Κασσιδιάρης,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 28.1/26.4), χωρητικότητα εκτίμηση"
Ηγουμενίτσα,Μούρτος,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 28.1/28.2), χωρητικότητα εκτίμηση"
Μούρτος,Καναλάκι,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 28.2/29.1), χωρητικότητα εκτίμηση"
Μούρτος,ΒΙ.ΠΕ. Πρέβεζας,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 28.2/29.3), χωρητικότητα εκτίμηση"
Καναλάκι,Άραχθος ΚΥΤ,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 29.1), χωρητικότητα εκτίμηση"
Λούρος ΥΗΣ,Άραχθος ΚΥΤ,200,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 29.2), χωρητικότητα εκτίμηση"
ΒΙ.ΠΕ. Πρέβεζας,Άραχθος ΚΥΤ,200,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 29.3), χωρητικότητα εκτίμηση (σημείωση PDF ανέφερε 200MVA καλωδιακή Ακτίου-Πρέβεζας, χρησιμοποιήθηκε ως ένδειξη)"
Πουρνάρι Ι ΥΗΣ,Άραχθος ΚΥΤ,350,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 30.1), χωρητικότητα εκτίμηση ελαφρώς πάνω από την ισχύ παραγωγής (300MW)"
Πουρνάρι ΙΙ ΥΗΣ,Άραχθος ΚΥΤ,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 30.2), χωρητικότητα εκτίμηση"
Μεσοχώρα ΥΗΣ,Άραχθος ΚΥΤ,200,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 30.3), χωρητικότητα εκτίμηση"
Μεσοχώρα ΥΗΣ,Αυλάκι,150,confirmed_topology_estimated_capacity,"Πραγματική σύνδεση (διάγραμμα 30.3/30.4), χωρητικότητα εκτίμηση"
